YEAR,LEVEL,REGION,SECTOR,GRADE,GENDER,S. ENROLLED, PANDEMIC ,STRANDS
2018-2019,JHS,Region III - Central Luzon,PUBLIC,8,F,"91,091 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PUBLIC,8,F,"116,611 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PUBLIC,8,F,"31,805 ",N,
2018-2019,JHS,Region V - Bicol Region,PUBLIC,8,F,"67,673 ",N,
2018-2019,JHS,Region VI - Western Visayas,PUBLIC,8,F,"74,035 ",N,
2018-2019,JHS,Region VII - Central Visayas,PUBLIC,8,F,"71,204 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PUBLIC,8,F,"48,896 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PUBLIC,8,F,"39,033 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PUBLIC,8,F,"42,741 ",N,
2018-2019,JHS,Region XI - Davao Region,PUBLIC,8,F,"48,181 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PUBLIC,8,F,"43,586 ",N,
2018-2019,JHS,CARAGA - CARAGA,PUBLIC,8,F,"27,879 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PUBLIC,8,F,"20,954 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PUBLIC,8,F,"13,067 ",N,
2018-2019,JHS,NCR - National Capital Region,PUBLIC,8,F,"90,593 ",N,
2018-2019,JHS,Region I - Ilocos Region,PUBLIC,9,F,"41,221 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PUBLIC,9,F,"26,510 ",N,
2018-2019,JHS,Region III - Central Luzon,PUBLIC,9,F,"84,908 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PUBLIC,9,F,"106,844 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PUBLIC,9,F,"28,004 ",N,
2018-2019,JHS,Region V - Bicol Region,PUBLIC,9,F,"60,824 ",N,
2018-2019,JHS,Region VI - Western Visayas,PUBLIC,9,F,"65,399 ",N,
2018-2019,JHS,Region VII - Central Visayas,PUBLIC,9,F,"63,743 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PUBLIC,9,F,"44,006 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PUBLIC,9,F,"33,018 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PUBLIC,9,F,"35,584 ",N,
2018-2019,JHS,Region XI - Davao Region,PUBLIC,9,F,"41,670 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PUBLIC,9,F,"36,660 ",N,
2018-2019,JHS,CARAGA - CARAGA,PUBLIC,9,F,"24,911 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PUBLIC,9,F,"18,253 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PUBLIC,9,F,"12,380 ",N,
2018-2019,JHS,NCR - National Capital Region,PUBLIC,9,F,"84,286 ",N,
2018-2019,JHS,Region I - Ilocos Region,PUBLIC,10,F,"38,497 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PUBLIC,10,F,"24,752 ",N,
2018-2019,JHS,Region III - Central Luzon,PUBLIC,10,F,"78,918 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PUBLIC,10,F,"99,081 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PUBLIC,10,F,"26,083 ",N,
2018-2019,JHS,Region V - Bicol Region,PUBLIC,10,F,"55,170 ",N,
2018-2019,JHS,Region VI - Western Visayas,PUBLIC,10,F,"61,373 ",N,
2018-2019,JHS,Region VII - Central Visayas,PUBLIC,10,F,"58,948 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PUBLIC,10,F,"39,676 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PUBLIC,10,F,"28,329 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PUBLIC,10,F,"31,133 ",N,
2018-2019,JHS,Region XI - Davao Region,PUBLIC,10,F,"35,734 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PUBLIC,10,F,"32,111 ",N,
2018-2019,JHS,CARAGA - CARAGA,PUBLIC,10,F,"21,985 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PUBLIC,10,F,"16,014 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PUBLIC,10,F,"11,584 ",N,
2018-2019,JHS,NCR - National Capital Region,PUBLIC,10,F,"80,537 ",N,
2018-2019,JHS,Region I - Ilocos Region,PRIVATE,7,M,"9,275 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PRIVATE,7,M,"6,359 ",N,
2018-2019,JHS,Region III - Central Luzon,PRIVATE,7,M,"24,595 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PRIVATE,7,M,"37,109 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PRIVATE,7,M,"4,436 ",N,
2018-2019,JHS,Region V - Bicol Region,PRIVATE,7,M,"9,770 ",N,
2018-2019,JHS,Region VI - Western Visayas,PRIVATE,7,M,"12,209 ",N,
2018-2019,JHS,Region VII - Central Visayas,PRIVATE,7,M,"16,812 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PRIVATE,7,M,"5,321 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PRIVATE,7,M,"4,647 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PRIVATE,7,M,"10,605 ",N,
2018-2019,JHS,Region XI - Davao Region,PRIVATE,7,M,"9,247 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PRIVATE,7,M,"8,797 ",N,
2018-2019,JHS,CARAGA - CARAGA,PRIVATE,7,M,"4,183 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PRIVATE,7,M,"4,609 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PRIVATE,7,M,"5,201 ",N,
2018-2019,JHS,NCR - National Capital Region,PRIVATE,7,M,"28,238 ",N,
2018-2019,JHS,Region I - Ilocos Region,PRIVATE,8,M,"8,784 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PRIVATE,8,M,"5,679 ",N,
2018-2019,JHS,Region III - Central Luzon,PRIVATE,8,M,"23,117 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PRIVATE,8,M,"34,809 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PRIVATE,8,M,"4,066 ",N,
2018-2019,JHS,Region V - Bicol Region,PRIVATE,8,M,"8,781 ",N,
2018-2019,JHS,Region VI - Western Visayas,PRIVATE,8,M,"11,062 ",N,
2018-2019,JHS,Region VII - Central Visayas,PRIVATE,8,M,"14,877 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PRIVATE,8,M,"5,107 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PRIVATE,8,M,"4,243 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PRIVATE,8,M,"9,719 ",N,
2018-2019,JHS,Region XI - Davao Region,PRIVATE,8,M,"8,184 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PRIVATE,8,M,"7,774 ",N,
2018-2019,JHS,CARAGA - CARAGA,PRIVATE,8,M,"3,807 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PRIVATE,8,M,"3,656 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PRIVATE,8,M,"4,524 ",N,
2018-2019,JHS,NCR - National Capital Region,PRIVATE,8,M,"26,576 ",N,
2018-2019,JHS,Region I - Ilocos Region,PRIVATE,9,M,"8,476 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PRIVATE,9,M,"5,467 ",N,
2018-2019,JHS,Region III - Central Luzon,PRIVATE,9,M,"22,069 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PRIVATE,9,M,"32,650 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PRIVATE,9,M,"3,809 ",N,
2018-2019,JHS,Region V - Bicol Region,PRIVATE,9,M,"7,643 ",N,
2018-2019,JHS,Region VI - Western Visayas,PRIVATE,9,M,"9,661 ",N,
2018-2019,JHS,Region VII - Central Visayas,PRIVATE,9,M,"13,494 ",N,
2018-2019,JHS,Region VIII - Eastern Visayas,PRIVATE,9,M,"4,384 ",N,
2018-2019,JHS,Region IX - Zamboanga Peninsula,PRIVATE,9,M,"3,782 ",N,
2018-2019,JHS,Region X - Northern Mindanao,PRIVATE,9,M,"8,151 ",N,
2018-2019,JHS,Region XI - Davao Region,PRIVATE,9,M,"7,824 ",N,
2018-2019,JHS,Region XII - Soccsksargen,PRIVATE,9,M,"6,933 ",N,
2018-2019,JHS,CARAGA - CARAGA,PRIVATE,9,M,"3,252 ",N,
2018-2019,JHS,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,PRIVATE,9,M,"3,224 ",N,
2018-2019,JHS,CAR - Cordillera Administrative Region,PRIVATE,9,M,"4,043 ",N,
2018-2019,JHS,NCR - National Capital Region,PRIVATE,9,M,"26,019 ",N,
2018-2019,JHS,Region I - Ilocos Region,PRIVATE,10,M,"8,118 ",N,
2018-2019,JHS,Region II - Cagayan Valley,PRIVATE,10,M,"4,927 ",N,
2018-2019,JHS,Region III - Central Luzon,PRIVATE,10,M,"21,488 ",N,
2018-2019,JHS,Region IV-A - CALABARZON,PRIVATE,10,M,"31,214 ",N,
2018-2019,JHS,Region IV-B - MIMAROPA,PRIVATE,10,M,"3,552 ",N,
2018-2019,JHS,Region V - Bicol Region,PRIVATE,10,M,"7,130 ",N,
