YEAR,LEVEL,REGION,SECTOR,GRADE,GENDER,S. ENROLLED, PANDEMIC ,STRANDS
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,M,"8,749",Y,ABM
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,M,344,Y,ABM
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,M,900,Y,ABM
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,M,"1,239",Y,ABM
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,M,"1,946",Y,ABM
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,M,630,Y,ABM
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,M,520,Y,ABM
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,M,"1,230",Y,ABM
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,M,"1,467",Y,ABM
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,M,829,Y,ABM
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,M,484,Y,ABM
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,M,282,Y,ABM
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,M,528,Y,ABM
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,M,"11,982",Y,ABM
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,F,"2,981",Y,ABM
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,F,"1,987",Y,ABM
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,F,"12,449",Y,ABM
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,F,"19,924",Y,ABM
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,F,"1,163",Y,ABM
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,F,"2,746",Y,ABM
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,F,"4,220",Y,ABM
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,F,"5,860",Y,ABM
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,F,"1,519",Y,ABM
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,F,"1,377",Y,ABM
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,F,"3,114",Y,ABM
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,F,"3,466",Y,ABM
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,F,"2,108",Y,ABM
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,F,"1,247",Y,ABM
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,F,402,Y,ABM
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,F,"1,326",Y,ABM
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,F,"22,680",Y,ABM
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,M,"1,780",Y,HUMSS
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,M,"1,648",Y,HUMSS
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,M,"6,224",Y,HUMSS
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,M,"10,184",Y,HUMSS
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,M,772,Y,HUMSS
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,M,"1,089",Y,HUMSS
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,M,"1,898",Y,HUMSS
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,M,"2,628",Y,HUMSS
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,M,"1,117",Y,HUMSS
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,M,"1,495",Y,HUMSS
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,M,"1,855",Y,HUMSS
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,M,"2,475",Y,HUMSS
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,M,"3,002",Y,HUMSS
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,M,"1,089",Y,HUMSS
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,M,"1,030",Y,HUMSS
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,M,"1,882",Y,HUMSS
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,M,"10,197",Y,HUMSS
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,F,"2,201",Y,HUMSS
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,F,"1,779",Y,HUMSS
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,F,"8,585",Y,HUMSS
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,F,"13,826",Y,HUMSS
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,F,962,Y,HUMSS
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,F,"1,578",Y,HUMSS
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,F,"3,236",Y,HUMSS
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,F,"5,411",Y,HUMSS
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,F,"1,715",Y,HUMSS
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,F,"2,056",Y,HUMSS
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,F,"2,785",Y,HUMSS
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,F,"4,025",Y,HUMSS
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,F,"4,007",Y,HUMSS
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,F,"1,607",Y,HUMSS
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,F,"1,257",Y,HUMSS
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,F,"2,297",Y,HUMSS
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,F,"14,032",Y,HUMSS
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,M,"3,231",Y,STEM
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,M,"2,183",Y,STEM
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,M,"10,312",Y,STEM
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,M,"17,573",Y,STEM
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,M,978,Y,STEM
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,M,"2,163",Y,STEM
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,M,"4,031",Y,STEM
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,M,"7,289",Y,STEM
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,M,"1,392",Y,STEM
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,M,"1,608",Y,STEM
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,M,"2,552",Y,STEM
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,M,"3,147",Y,STEM
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,M,"2,061",Y,STEM
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,M,812,Y,STEM
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,M,568,Y,STEM
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,M,"2,013",Y,STEM
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,M,"18,754",Y,STEM
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,F,"3,129",Y,STEM
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,F,"2,537",Y,STEM
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,F,"8,991",Y,STEM
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,F,"14,889",Y,STEM
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,F,947,Y,STEM
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,F,"2,015",Y,STEM
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,F,"4,930",Y,STEM
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,F,"6,644",Y,STEM
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,F,"1,391",Y,STEM
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,F,"2,132",Y,STEM
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,F,"2,653",Y,STEM
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,F,"3,663",Y,STEM
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,F,"2,388",Y,STEM
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,F,936,Y,STEM
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,F,974,Y,STEM
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,F,"2,288",Y,STEM
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,F,"15,020",Y,STEM
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,M,"1,867",Y,GAS
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,M,"1,199",Y,GAS
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,M,"5,339",Y,GAS
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,M,"5,970",Y,GAS
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,M,"1,081",Y,GAS
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,M,"2,455",Y,GAS
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,M,"1,879",Y,GAS
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,M,"3,746",Y,GAS
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,M,897,Y,GAS
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,M,"1,126",Y,GAS
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,M,"1,960",Y,GAS
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,M,"1,501",Y,GAS
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,M,754,Y,GAS
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,M,823,Y,GAS
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,M,"1,079",Y,GAS
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,M,427,Y,GAS
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,M,"6,016",Y,GAS
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,F,"1,637",Y,GAS
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,F,"1,194",Y,GAS
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,F,"5,053",Y,GAS
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,F,"4,842",Y,GAS
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,F,"1,105",Y,GAS
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,F,"3,039",Y,GAS
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,F,"1,699",Y,GAS
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,F,"3,432",Y,GAS
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,F,971,Y,GAS
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,F,"1,372",Y,GAS
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,F,"2,094",Y,GAS
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,F,"1,593",Y,GAS
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,F,866,Y,GAS
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,F,822,Y,GAS
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,F,"1,586",Y,GAS
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,F,438,Y,GAS
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,F,"5,712",Y,GAS
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,M,252,Y,MARITIME
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,M,172,Y,MARITIME
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,M,302,Y,MARITIME
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,M,310,Y,MARITIME
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,M,401,Y,MARITIME
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,M,286,Y,MARITIME
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,M,"2,307",Y,MARITIME
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,M,"1,053",Y,MARITIME
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,M,0,Y,MARITIME
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,M,14,Y,MARITIME
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,M,485,Y,MARITIME
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,M,183,Y,MARITIME
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,M,25,Y,MARITIME
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,M,125,Y,MARITIME
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,M,0,Y,MARITIME
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,M,0,Y,MARITIME
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,M,412,Y,MARITIME
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,F,18,Y,MARITIME
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,F,8,Y,MARITIME
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,F,15,Y,MARITIME
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,F,11,Y,MARITIME
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,F,53,Y,MARITIME
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,F,12,Y,MARITIME
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,F,38,Y,MARITIME
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,F,47,Y,MARITIME
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,F,0,Y,MARITIME
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,F,1,Y,MARITIME
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,F,17,Y,MARITIME
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,F,20,Y,MARITIME
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,F,1,Y,MARITIME
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,F,2,Y,MARITIME
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,F,0,Y,MARITIME
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,F,0,Y,MARITIME
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,F,23,Y,MARITIME
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,M,"2,590",Y,TVL
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,M,789,Y,TVL
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,M,"12,264",Y,TVL
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,M,"17,315",Y,TVL
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,M,"1,505",Y,TVL
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,M,"3,632",Y,TVL
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,M,"3,478",Y,TVL
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,M,"6,183",Y,TVL
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,M,"1,853",Y,TVL
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,M,"2,217",Y,TVL
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,M,"3,198",Y,TVL
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,M,"5,321",Y,TVL
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,M,"3,324",Y,TVL
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,M,"1,669",Y,TVL
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,M,639,Y,TVL
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,M,"1,311",Y,TVL
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,M,"18,095",Y,TVL
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,F,"1,754",Y,TVL
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,F,545,Y,TVL
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,F,"9,414",Y,TVL
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,F,"14,064",Y,TVL
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,F,"1,239",Y,TVL
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,F,"2,774",Y,TVL
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,F,"3,362",Y,TVL
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,F,"4,937",Y,TVL
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,F,"1,539",Y,TVL
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,F,"1,840",Y,TVL
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,F,"2,512",Y,TVL
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,F,"4,020",Y,TVL
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,F,"1,851",Y,TVL
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,F,"1,310",Y,TVL
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,F,682,Y,TVL
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,F,949,Y,TVL
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,F,"14,795",Y,TVL
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,M,0,Y,SPORTS
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,M,4,Y,SPORTS
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,M,69,Y,SPORTS
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,M,106,Y,SPORTS
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,M,2,Y,SPORTS
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,M,31,Y,SPORTS
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,M,1,Y,SPORTS
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,M,0,Y,SPORTS
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,M,0,Y,SPORTS
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,M,0,Y,SPORTS
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,M,0,Y,SPORTS
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,M,0,Y,SPORTS
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,M,6,Y,SPORTS
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,M,0,Y,SPORTS
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,M,0,Y,SPORTS
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,M,13,Y,SPORTS
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,M,159,Y,SPORTS
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,F,0,Y,SPORTS
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,F,4,Y,SPORTS
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,F,40,Y,SPORTS
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,F,41,Y,SPORTS
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,F,0,Y,SPORTS
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,F,22,Y,SPORTS
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,F,2,Y,SPORTS
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,F,0,Y,SPORTS
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,F,0,Y,SPORTS
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,F,0,Y,SPORTS
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,F,0,Y,SPORTS
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,F,0,Y,SPORTS
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,F,3,Y,SPORTS
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,F,0,Y,SPORTS
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,F,0,Y,SPORTS
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,F,9,Y,SPORTS
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,F,120,Y,SPORTS
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,M,2,Y,ARTs & DESIGN
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,M,8,Y,ARTs & DESIGN
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,M,136,Y,ARTs & DESIGN
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,M,230,Y,ARTs & DESIGN
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,M,0,Y,ARTs & DESIGN
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,M,27,Y,ARTs & DESIGN
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,M,136,Y,ARTs & DESIGN
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,M,123,Y,ARTs & DESIGN
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,M,0,Y,ARTs & DESIGN
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,M,2,Y,ARTs & DESIGN
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,M,20,Y,ARTs & DESIGN
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,M,27,Y,ARTs & DESIGN
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,M,6,Y,ARTs & DESIGN
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,M,6,Y,ARTs & DESIGN
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,M,0,Y,ARTs & DESIGN
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,M,18,Y,ARTs & DESIGN
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,M,535,Y,ARTs & DESIGN
2019-2020,SHS, Region I - Ilocos Region ,PRIVATE,12,F,6,Y,ARTs & DESIGN
2019-2020,SHS, Region II - Cagayan Valley ,PRIVATE,12,F,12,Y,ARTs & DESIGN
2019-2020,SHS, Region III - Central Luzon ,PRIVATE,12,F,122,Y,ARTs & DESIGN
2019-2020,SHS, Region IV-A - CALABARZON ,PRIVATE,12,F,351,Y,ARTs & DESIGN
2019-2020,SHS, Region IV-B - MIMAROPA ,PRIVATE,12,F,0,Y,ARTs & DESIGN
2019-2020,SHS, Region V - Bicol Region ,PRIVATE,12,F,35,Y,ARTs & DESIGN
2019-2020,SHS, Region VI - Western Visayas ,PRIVATE,12,F,127,Y,ARTs & DESIGN
2019-2020,SHS, Region VII - Central Visayas ,PRIVATE,12,F,196,Y,ARTs & DESIGN
2019-2020,SHS, Region VIII - Eastern Visayas ,PRIVATE,12,F,0,Y,ARTs & DESIGN
2019-2020,SHS, Region IX - Zamboanga Peninsula ,PRIVATE,12,F,1,Y,ARTs & DESIGN
2019-2020,SHS, Region X - Northern Mindanao ,PRIVATE,12,F,34,Y,ARTs & DESIGN
2019-2020,SHS, Region XI - Davao Region ,PRIVATE,12,F,30,Y,ARTs & DESIGN
2019-2020,SHS, Region XII - Soccsksargen ,PRIVATE,12,F,3,Y,ARTs & DESIGN
2019-2020,SHS, CARAGA - CARAGA ,PRIVATE,12,F,10,Y,ARTs & DESIGN
2019-2020,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PRIVATE,12,F,0,Y,ARTs & DESIGN
2019-2020,SHS, CAR - Cordillera Administrative Region ,PRIVATE,12,F,27,Y,ARTs & DESIGN
2019-2020,SHS, NCR - National Capital Region ,PRIVATE,12,F,918,Y,ARTs & DESIGN
2020-2021,SHS, Region I - Ilocos Region ,PUBLIC,11,M,"1,402",Y,ABM
2020-2021,SHS, Region II - Cagayan Valley ,PUBLIC,11,M,807,Y,ABM
2020-2021,SHS, Region III - Central Luzon ,PUBLIC,11,M,"3,987",Y,ABM
2020-2021,SHS, Region IV-A - CALABARZON ,PUBLIC,11,M,"5,597",Y,ABM
2020-2021,SHS, Region IV-B - MIMAROPA ,PUBLIC,11,M,807,Y,ABM
2020-2021,SHS, Region V - Bicol Region ,PUBLIC,11,M,"1,264",Y,ABM
2020-2021,SHS, Region VI - Western Visayas ,PUBLIC,11,M,"1,827",Y,ABM
2020-2021,SHS, Region VII - Central Visayas ,PUBLIC,11,M,"1,619",Y,ABM
2020-2021,SHS, Region VIII - Eastern Visayas ,PUBLIC,11,M,"1,267",Y,ABM
2020-2021,SHS, Region IX - Zamboanga Peninsula ,PUBLIC,11,M,714,Y,ABM
2020-2021,SHS, Region X - Northern Mindanao ,PUBLIC,11,M,991,Y,ABM
2020-2021,SHS, Region XI - Davao Region ,PUBLIC,11,M,695,Y,ABM
2020-2021,SHS, Region XII - Soccsksargen ,PUBLIC,11,M,959,Y,ABM
2020-2021,SHS, CARAGA - CARAGA ,PUBLIC,11,M,598,Y,ABM
2020-2021,SHS, BARMM - Bangsamoro Autonomous Region in Muslim Mindanao ,PUBLIC,11,M,368,Y,ABM
2020-2021,SHS, CAR - Cordillera Administrative Region ,PUBLIC,11,M,378,Y,ABM
2020-2021,SHS, NCR - National Capital Region ,PUBLIC,11,M,"3,879",Y,ABM
2020-2021,SHS, Region I - Ilocos Region ,PUBLIC,11,F,"4,200",Y,ABM
2020-2021,SHS, Region II - Cagayan Valley ,PUBLIC,11,F,"2,492",Y,ABM
2020-2021,SHS, Region III - Central Luzon ,PUBLIC,11,F,"9,249",Y,ABM
2020-2021,SHS, Region IV-A - CALABARZON ,PUBLIC,11,F,"12,258",Y,ABM
